Year,Month,Material Number,ProductFamily,Forecast
2017,1,42410,61,12
2017,1,42410,61,10
2017,1,42410,61,10
2017,1,42410,61,6
2017,1,42410,61,6
2017,1,42418,67,163
2017,1,42418,67,100
2017,1,42418,67,6
2017,1,42420,67,532
2017,1,42420,67,290
2017,1,42420,67,48
2017,1,42420,67,6
2017,1,42422,67,837
2017,1,42422,67,501
2017,1,42422,67,75
2017,1,42424,67,300
2017,1,42424,67,264
2017,1,42424,67,240
2017,1,42424,67,6
2017,1,42425,70,508
2017,1,42427,70,1091
2017,1,42429,70,1465
2017,1,42431,70,1963
2017,1,42433,72,777
2017,1,42433,72,200
2017,1,42433,72,122
2017,1,42433,72,110
2017,1,42433,72,100
2017,1,42433,72,91
2017,1,42433,72,80
2017,1,42433,72,50
2017,1,42433,72,48
2017,1,42433,72,24
2017,1,42433,72,24
2017,1,42433,72,15
2017,1,42433,72,12
2017,1,42433,72,10
2017,1,42433,72,10
2017,1,42433,72,7
2017,1,42433,72,4
2017,1,42435,72,1624
2017,1,42435,72,565
2017,1,42435,72,359
2017,1,42435,72,300
2017,1,42435,72,225
2017,1,42435,72,166
2017,1,42435,72,150
2017,1,42435,72,63
2017,1,42435,72,60
2017,1,42435,72,60
2017,1,42435,72,42
2017,1,42435,72,36
2017,1,42435,72,33
2017,1,42435,72,24
2017,1,42435,72,24
2017,1,42435,72,24
2017,1,42435,72,17
2017,1,42435,72,12
2017,1,42435,72,12
2017,1,42435,72,10
2017,1,42435,72,8
2017,1,42435,72,6
2017,1,42443,87,100
2017,1,42443,87,61
2017,1,42443,87,57
2017,1,42443,87,42
2017,1,42443,87,24
2017,1,42443,87,24
2017,1,42443,87,15
2017,1,42443,87,12
2017,1,42443,87,12
2017,1,42443,87,11
2017,1,42445,87,700
2017,1,42445,87,337
2017,1,42445,87,163
2017,1,42445,87,144
2017,1,42445,87,125
2017,1,42445,87,108
2017,1,42445,87,60
2017,1,42445,87,48
2017,1,42445,87,48
2017,1,42445,87,48
2017,1,42445,87,45
2017,1,42445,87,43
2017,1,42445,87,38
2017,1,42445,87,36
2017,1,42445,87,29
2017,1,42445,87,29
2017,1,42445,87,19
2017,1,42445,87,18
2017,1,42445,87,18
2017,1,42445,87,12
2017,1,42445,87,11
2017,1,42445,87,9
2017,1,42445,87,8
2017,1,42447,87,1656
2017,1,42447,87,650
2017,1,42447,87,518
2017,1,42447,87,389
2017,1,42447,87,230
2017,1,42447,87,229
2017,1,42447,87,208
2017,1,42447,87,156
2017,1,42447,87,107
2017,1,42447,87,100
2017,1,42447,87,75
2017,1,42447,87,72
2017,1,42447,87,72
2017,1,42447,87,72
2017,1,42447,87,71
2017,1,42447,87,68
2017,1,42447,87,58
2017,1,42447,87,52
2017,1,42447,87,48
2017,1,42447,87,47
2017,1,42447,87,34
2017,1,42447,87,34
2017,1,42447,87,26
2017,1,42447,87,16
2017,1,42447,87,15
2017,1,42447,87,12
2017,1,42455,91,1
2017,1,42457,159,1008
2017,1,42457,159,531
2017,1,42457,159,224
2017,1,42457,159,218
2017,1,42457,159,200
2017,1,42457,159,150
2017,1,42457,159,150
