Material Number,ProductFamily,Launch Date
46677,153,8/1/2008
46714,90,8/1/2008
46716,90,2/1/2008
46717,90,9/1/2013
46808,311,2/1/2013
46814,309,1/1/2018
46814,309,6/1/2012
46815,309,6/1/2012
46816,309,6/1/2012
46834,309,12/1/2017
46834,309,6/1/2012
46922,311,1/1/2013
46929,311,3/1/2013
46974,218,10/1/2018
46988,161,11/1/2011
46989,153,5/1/2008
47059,318,12/1/2013
47065,318,3/1/2013
47067,318,6/1/2014
47155,329,4/1/2016
47251,234,10/1/2007
47254,234,10/1/2007
47257,234,11/1/2007
47713,90,9/1/2006
47715,90,10/1/2006
47717,90,10/1/2006
47719,90,10/1/2006
47723,333,1/1/2008
47805,354,2/1/2006
47808,295,3/1/2016
47852,354,3/1/2006
47854,354,2/1/2006
48009,355,6/1/2010
48698,574,11/1/2009
48740,348,12/1/2015
48876,228,5/1/2014
49048,998,1/1/2015
49086,269,2/1/2012
49086,269,2/1/2012
49087,269,2/1/2012
49087,269,2/1/2012
49088,269,2/1/2012
49088,269,2/1/2012
49205,996,12/1/2006
49206,996,7/1/2008
49206,996,11/1/2006
49207,996,11/1/2006
49209,996,11/1/2006
49216,34,1/1/2008
49218,996,11/1/2006
49288,355,12/1/2009
49572,497,4/1/2012
49572,497,3/1/2012
49639,275,3/1/2009
49840,397,8/1/2008
49842,397,8/1/2008
49845,397,8/1/2008
49847,397,8/1/2008
50589,28,4/1/2012
50595,28,4/1/2012
50998,441,7/1/2017
51012,368,7/1/2011
51328,203,12/1/2006
51329,203,11/1/2006
51330,203,11/1/2006
51331,203,1/1/2007
51332,203,11/1/2006
51333,203,12/1/2006
51451,512,11/1/2011
51523,404,6/1/2017
51552,404,6/1/2017
51553,404,8/1/2017
51609,203,3/1/2009
51611,203,3/1/2009
51795,358,8/1/2014
51796,358,4/1/2014
52029,238,6/1/2012
52034,238,11/1/2014
52035,238,4/1/2012
52128,358,5/1/2009
52592,391,6/1/2014
52593,391,6/1/2014
52593,391,4/1/2016
52594,391,6/1/2014
52594,391,4/1/2016
52610,373,8/1/2015
52611,373,8/1/2015
52612,373,8/1/2015
52613,373,8/1/2015
52614,373,8/1/2015
52727,371,6/1/2012
52998,373,8/1/2015
53003,373,3/1/2018
53145,74,10/1/2013
53148,74,5/1/2014
53151,74,10/1/2013
53212,348,12/1/2017
53482,358,5/1/2009
53545,579,10/1/2010
53549,506,10/1/2012
53554,506,10/1/2012
53568,213,3/1/2012
53577,213,1/1/2013
53970,469,6/1/2014
54050,373,3/1/2018
54069,373,11/1/2017
54071,373,3/1/2018
54073,373,3/1/2018
54077,373,3/1/2018
54101,424,1/1/2014
54101,424,1/1/2014
54107,424,12/1/2011
54112,424,12/1/2011
54121,320,7/1/2012
54121,320,6/1/2012
54123,320,8/1/2012
54123,320,7/1/2016
54123,320,4/1/2016
54123,320,7/1/2016
54123,320,4/1/2016
54127,320,7/1/2012
54127,320,6/1/2012
54129,320,8/1/2012
54129,320,7/1/2016
54129,320,5/1/2016
54129,320,7/1/2016
54129,320,5/1/2016
54134,320,7/1/2012
54134,320,6/1/2012
54136,320,4/1/2015
54136,320,7/1/2012
54136,320,7/1/2016
54136,320,5/1/2016
54136,320,7/1/2016
54136,320,5/1/2016
54136,320,12/1/2018
54141,320,7/1/2012
54141,320,6/1/2012
54143,320,4/1/2015
54143,320,8/1/2012
54143,320,7/1/2016
54143,320,7/1/2016
54143,320,7/1/2016
54143,320,5/1/2016
54143,320,10/1/2018
54145,353,12/1/2011
54146,353,12/1/2011
54147,353,12/1/2011
54170,28,4/1/2012
54529,578,10/1/2010
54532,578,10/1/2010
54539,578,10/1/2010
54543,578,6/1/2014
54544,578,10/1/2010
54547,578,10/1/2010
54880,469,6/1/2014
55624,348,10/1/2014
55760,344,9/1/2009
55784,520,12/1/2012
55972,258,11/1/2012
55984,427,6/1/2012
55986,1009,11/1/2017
55986,1009,1/1/2015
56008,313,9/1/2011
56041,470,8/1/2013
56042,470,8/1/2013
56043,470,10/1/2013
56044,470,10/1/2013
56448,1051,10/1/2014
56628,238,12/1/2012
56628,238,10/1/2010
56784,355,7/1/2014
57338,59,5/1/2014
57552,159,11/1/2010
57553,159,11/1/2010
57554,159,11/1/2010
57787,1007,12/1/2017
57975,365,12/1/2012
58367,159,4/1/2002
58557,465,4/1/2012
58578,465,4/1/2012
58580,465,4/1/2012
58581,465,5/1/2012
58582,465,4/1/2012
58583,465,8/1/2012
58584,465,4/1/2012
58585,465,11/1/2012
58678,159,4/1/2002
58679,159,4/1/1998
58806,29,11/1/2017
58807,29,11/1/2017
58878,29,11/1/2017
58879,29,11/1/2017
58895,409,8/1/2011
58913,409,8/1/2011
58914,409,8/1/2011
58915,409,8/1/2011
59428,313,9/1/2011
59465,322,8/1/2013
59466,322,7/1/2013
59467,322,8/1/2013
59474,322,5/1/2013
59476,416,10/1/2012
59478,322,5/1/2012
59480,322,11/1/2013
59481,322,5/1/2012
59483,322,1/1/2014
59484,322,5/1/2012
59486,322,11/1/2013
59487,322,5/1/2012
59489,322,1/1/2014
59490,322,5/1/2012
59492,322,1/1/2014
59493,322,5/1/2012
59495,322,2/1/2014
59499,322,6/1/2013
59501,439,8/1/2012
59509,322,5/1/2013
59513,201,7/1/2004
59514,201,3/1/2001
59515,201,7/1/2004
59516,201,3/1/2001
59517,201,3/1/2001
59528,201,3/1/2001
59530,439,8/1/2012
59531,439,8/1/2012
59532,439,10/1/2013
59534,439,9/1/2012
59535,439,10/1/2012
59547,439,8/1/2012
59552,484,9/1/2012
59559,378,2/1/2014
59698,327,6/1/2011
59701,327,6/1/2011
59702,327,6/1/2011
59703,327,6/1/2011
59762,1051,11/1/2014
60119,469,12/1/2015
60119,469,2/1/2017
60157,465,5/1/2012
60285,238,6/1/2014
60288,465,5/1/2012
60335,545,2/1/2014
60336,545,3/1/2014
60337,545,2/1/2014
60370,607,3/1/2014
60371,607,3/1/2014
60372,607,3/1/2014
60374,607,3/1/2014
60388,221,3/1/2013
60394,468,6/1/2013
60648,322,10/1/2011
60649,322,10/1/2011
60650,322,10/1/2011
60651,322,10/1/2011
60652,322,11/1/2011
60653,322,11/1/2011
60654,322,11/1/2011
60655,322,1/1/2012
60655,322,11/1/2011
60820,373,11/1/2015
60851,1027,12/1/2012
60852,1027,12/1/2012
60855,471,1/1/2013
61084,1068,3/1/2014
61086,415,8/1/2016
61099,1068,8/1/2015
61100,1007,2/1/2016
61217,153,7/1/2014
61441,258,11/1/2012
61457,232,10/1/2015
61464,427,5/1/2014
61572,201,12/1/2017
61574,201,12/1/2017
61586,562,6/1/2015
61587,562,4/1/2016
61589,562,7/1/2015
61590,562,6/1/2015
61592,562,7/1/2015
62074,545,1/1/2018
62253,492,1/1/2014
63090,1008,4/1/2014
63299,547,8/1/2016
63300,547,10/1/2016
63300,547,8/1/2016
63307,497,2/1/2016
63318,513,10/1/2017
63318,513,8/1/2017
63441,1064,10/1/2018
63443,1064,10/1/2018
63444,1064,10/1/2018
63445,1064,10/1/2018
63479,415,8/1/2016
63895,335,2/1/2018
63896,335,3/1/2018
63907,52,3/1/2019
63918,52,3/1/2019
63982,507,6/1/2015
63984,507,6/1/2015
64047,455,2/1/2017
64049,455,2/1/2017
64141,518,3/1/2018
64142,518,3/1/2018
64143,518,3/1/2018
64640,293,6/1/2016
64799,228,4/1/2016
65048,330,6/1/2006
65050,330,10/1/2005
65052,381,6/1/2007
65053,381,6/1/2007
65055,381,6/1/2007
65056,381,6/1/2007
65059,329,8/1/2005
65060,329,8/1/2005
65062,329,8/1/2005
65064,329,8/1/2005
65065,329,8/1/2005
65066,329,8/1/2005
65159,475,7/1/2016
65160,475,11/1/2017
65160,475,7/1/2016
65161,475,7/1/2016
65162,475,7/1/2016
65242,714,1/1/2017
65243,714,1/1/2017
65568,1057,12/1/2017
65569,1057,12/1/2017
65570,1057,12/1/2017
65571,1057,11/1/2017
65959,405,4/1/2018
65960,405,4/1/2018
65961,405,4/1/2018
66345,638,10/1/2017
66346,638,1/1/2018
66346,638,10/1/2017
66492,1149,3/1/2018
