MonthYear,Year,Month,MaterialNum,ProdFamily,SupplyQty
May-2018,2018,5,46408,61,1788
May-2018,2018,5,46612,272,2135254
May-2018,2018,5,46677,153,1731
May-2018,2018,5,46973,218,814
May-2018,2018,5,46974,218,742
May-2018,2018,5,47059,318,22550
May-2018,2018,5,47065,318,10944
May-2018,2018,5,47715,90,1758
May-2018,2018,5,47723,333,39348
May-2018,2018,5,47808,295,139166
May-2018,2018,5,48009,355,449384
May-2018,2018,5,50589,28,10116
May-2018,2018,5,50595,28,36588
May-2018,2018,5,50998,441,136704
May-2018,2018,5,51305,996,35772
May-2018,2018,5,51306,996,14220
May-2018,2018,5,51307,203,85284
May-2018,2018,5,51317,996,9792
May-2018,2018,5,51329,203,11376
May-2018,2018,5,51332,203,33840
May-2018,2018,5,51333,203,54228
May-2018,2018,5,51794,177,416
May-2018,2018,5,51795,358,8856
May-2018,2018,5,51796,358,17580
May-2018,2018,5,52613,373,3324
May-2018,2018,5,52998,373,7140
May-2018,2018,5,53003,373,1896
May-2018,2018,5,53080,374,3588
May-2018,2018,5,53086,374,23532
May-2018,2018,5,53102,374,23448
May-2018,2018,5,53108,374,55932
May-2018,2018,5,53114,374,33268
May-2018,2018,5,53120,374,12072
May-2018,2018,5,53126,374,17172
May-2018,2018,5,54071,373,1386
May-2018,2018,5,54073,373,492
May-2018,2018,5,54101,424,8064
May-2018,2018,5,54107,424,4968
May-2018,2018,5,54112,424,14592
May-2018,2018,5,54121,320,287640
May-2018,2018,5,54123,320,30640
May-2018,2018,5,54127,320,346284
May-2018,2018,5,54129,320,62334
May-2018,2018,5,54134,320,529416
May-2018,2018,5,54136,320,42505
May-2018,2018,5,54141,320,130392
May-2018,2018,5,54143,320,87167
May-2018,2018,5,55984,427,31512
May-2018,2018,5,56008,313,38651
May-2018,2018,5,57338,59,21163
May-2018,2018,5,59245,272,595458
May-2018,2018,5,59428,313,12785
May-2018,2018,5,59478,322,40032
May-2018,2018,5,59480,322,852
May-2018,2018,5,59481,322,41207
May-2018,2018,5,59483,322,504
May-2018,2018,5,59484,322,36564
May-2018,2018,5,59486,322,1632
May-2018,2018,5,59487,322,14652
May-2018,2018,5,59489,322,486
May-2018,2018,5,59490,322,53832
May-2018,2018,5,59493,322,22848
May-2018,2018,5,59495,322,258
May-2018,2018,5,61084,1068,4427
May-2018,2018,5,61086,415,6840
May-2018,2018,5,61557,405,88956
May-2018,2018,5,62728,232,1440
May-2018,2018,5,62925,34,13120
May-2018,2018,5,62927,34,8947
May-2018,2018,5,62968,34,22122
May-2018,2018,5,63207,1009,108484
May-2018,2018,5,63479,415,10392
May-2018,2018,5,63725,177,189101
May-2018,2018,5,63747,448,16152
May-2018,2018,5,63764,448,6144
May-2018,2018,5,63788,177,2878
May-2018,2018,5,63810,448,152184
May-2018,2018,5,63827,652,2016
May-2018,2018,5,64049,455,6912
May-2018,2018,5,64229,272,28656
May-2018,2018,5,64232,272,7944
May-2018,2018,5,64480,34,173417
May-2018,2018,5,64481,34,1755
May-2018,2018,5,64482,34,73488
May-2018,2018,5,64488,117,1584
May-2018,2018,5,64489,117,6120
May-2018,2018,5,64640,293,42100
May-2018,2018,5,64748,272,28200
May-2018,2018,5,64750,272,5880
May-2018,2018,5,64903,117,36539
May-2018,2018,5,65051,381,24256
May-2018,2018,5,65053,381,0
May-2018,2018,5,65054,381,8879
May-2018,2018,5,65060,329,31881
May-2018,2018,5,65062,329,16400
May-2018,2018,5,65065,329,40922
May-2018,2018,5,65066,329,8113
May-2018,2018,5,65105,272,4738
May-2018,2018,5,65109,652,396
May-2018,2018,5,65159,475,38604
May-2018,2018,5,65160,475,34272
May-2018,2018,5,65161,475,17304
May-2018,2018,5,65162,475,108348
May-2018,2018,5,65192,272,24000
May-2018,2018,5,65193,272,2670
May-2018,2018,5,65578,272,5868
May-2018,2018,5,65579,272,6000
May-2018,2018,5,65580,272,95424
May-2018,2018,5,65647,272,25200
May-2018,2018,5,65707,448,648
May-2018,2018,5,65814,177,21960
May-2018,2018,5,65828,448,28512
May-2018,2018,5,65829,448,16920
May-2018,2018,5,65830,448,17520
May-2018,2018,5,65921,177,31968
May-2018,2018,5,66018,177,35892
May-2018,2018,5,66019,177,8357
May-2018,2018,5,66021,177,17301
May-2018,2018,5,66022,597,11676
May-2018,2018,5,66100,272,420810
May-2018,2018,5,66101,448,24948
May-2018,2018,5,66102,448,25452
May-2018,2018,5,66106,272,7350
May-2018,2018,5,66108,448,9252
May-2018,2018,5,66346,638,124210
May-2018,2018,5,66428,272,4683
May-2018,2018,5,66437,272,7176
Jun-2018,2018,6,42405,61,14376
Jun-2018,2018,6,42407,61,24576
Jun-2018,2018,6,42409,61,28680
Jun-2018,2018,6,42410,61,3762
Jun-2018,2018,6,42420,67,960
Jun-2018,2018,6,42422,67,5592
Jun-2018,2018,6,42433,72,4596
Jun-2018,2018,6,42443,87,8580
Jun-2018,2018,6,42445,87,18912
Jun-2018,2018,6,42447,87,27252
Jun-2018,2018,6,42483,179,20148
Jun-2018,2018,6,42565,153,372072
Jun-2018,2018,6,42567,182,202872
Jun-2018,2018,6,42581,218,29232
Jun-2018,2018,6,42582,218,18288
Jun-2018,2018,6,42583,218,74052
Jun-2018,2018,6,42585,218,88188
Jun-2018,2018,6,42586,218,73536
Jun-2018,2018,6,42588,218,44088
Jun-2018,2018,6,42589,217,231012
Jun-2018,2018,6,42591,217,113172
Jun-2018,2018,6,42613,72,46356
Jun-2018,2018,6,42615,72,53376
Jun-2018,2018,6,42624,28,78204
Jun-2018,2018,6,42625,28,7692
Jun-2018,2018,6,42647,67,32604
Jun-2018,2018,6,43658,83,56302
Jun-2018,2018,6,43986,232,285768
Jun-2018,2018,6,44038,167,66228
Jun-2018,2018,6,44042,167,194784
Jun-2018,2018,6,44052,234,49812
Jun-2018,2018,6,44059,153,153108
Jun-2018,2018,6,44968,152,88416
Jun-2018,2018,6,44970,152,160909
Jun-2018,2018,6,45709,274,75000
Jun-2018,2018,6,45726,274,50052
Jun-2018,2018,6,45968,232,24846
Jun-2018,2018,6,46119,167,17868
Jun-2018,2018,6,46125,167,23046
Jun-2018,2018,6,46256,57,8388
Jun-2018,2018,6,46308,57,4500
Jun-2018,2018,6,46409,61,2400
Jun-2018,2018,6,46612,272,1236673
Jun-2018,2018,6,46972,67,138
Jun-2018,2018,6,47059,318,54168
Jun-2018,2018,6,47065,318,223464
Jun-2018,2018,6,47251,234,13164
Jun-2018,2018,6,47254,234,8514
Jun-2018,2018,6,47257,234,2280
Jun-2018,2018,6,47723,333,36174
Jun-2018,2018,6,47808,295,236654
Jun-2018,2018,6,47873,159,12986
Jun-2018,2018,6,47986,67,458
Jun-2018,2018,6,48009,355,148892
Jun-2018,2018,6,49086,269,26700
Jun-2018,2018,6,49087,269,55560
Jun-2018,2018,6,49088,269,9420
Jun-2018,2018,6,49216,34,49836
Jun-2018,2018,6,49560,34,12648
Jun-2018,2018,6,50595,28,7116
Jun-2018,2018,6,51304,996,3546
Jun-2018,2018,6,51305,996,36156
Jun-2018,2018,6,51306,996,14340
Jun-2018,2018,6,51307,203,152400
Jun-2018,2018,6,51317,996,28560
Jun-2018,2018,6,51328,203,13476
Jun-2018,2018,6,51329,203,45360
Jun-2018,2018,6,51330,203,2256
Jun-2018,2018,6,51333,203,6852
Jun-2018,2018,6,51795,358,25944
Jun-2018,2018,6,51796,358,52800
Jun-2018,2018,6,52054,203,185
Jun-2018,2018,6,52057,203,197
Jun-2018,2018,6,52592,391,26880
Jun-2018,2018,6,53114,374,17544
Jun-2018,2018,6,53120,374,10404
Jun-2018,2018,6,53126,374,9204
Jun-2018,2018,6,54121,320,153648
Jun-2018,2018,6,54123,320,18936
Jun-2018,2018,6,54127,320,264180
Jun-2018,2018,6,54134,320,86976
Jun-2018,2018,6,54136,320,26057
Jun-2018,2018,6,54141,320,398124
Jun-2018,2018,6,54143,320,46301
Jun-2018,2018,6,54170,28,32381
Jun-2018,2018,6,55784,520,18780
Jun-2018,2018,6,55984,427,98148
Jun-2018,2018,6,57975,365,8235
Jun-2018,2018,6,59245,272,586453
Jun-2018,2018,6,59428,313,9504
Jun-2018,2018,6,59466,322,4411
Jun-2018,2018,6,59467,322,2800
Jun-2018,2018,6,59480,322,876
Jun-2018,2018,6,59499,322,6779
Jun-2018,2018,6,60394,468,0
Jun-2018,2018,6,60651,322,23760
Jun-2018,2018,6,60653,322,2711
Jun-2018,2018,6,60654,322,2558
Jun-2018,2018,6,60655,322,2102
Jun-2018,2018,6,63207,1009,212178
Jun-2018,2018,6,63725,177,27104
Jun-2018,2018,6,63746,448,3672
Jun-2018,2018,6,63747,448,6096
Jun-2018,2018,6,63809,448,75312
Jun-2018,2018,6,63810,448,44712
Jun-2018,2018,6,63811,448,194040
Jun-2018,2018,6,63831,653,1488
Jun-2018,2018,6,64232,272,67320
Jun-2018,2018,6,64483,34,128380
Jun-2018,2018,6,64484,34,61278
Jun-2018,2018,6,64751,272,65424
Jun-2018,2018,6,64763,272,98112
Jun-2018,2018,6,64765,272,18000
Jun-2018,2018,6,64799,228,4558
Jun-2018,2018,6,64800,228,3264
Jun-2018,2018,6,64801,228,4032
Jun-2018,2018,6,64902,34,10368
Jun-2018,2018,6,65050,330,37723
Jun-2018,2018,6,65055,381,80323
Jun-2018,2018,6,65056,381,45979
Jun-2018,2018,6,65104,272,2016
Jun-2018,2018,6,65155,272,3824
Jun-2018,2018,6,65161,475,52788
Jun-2018,2018,6,65162,475,73008
Jun-2018,2018,6,65192,272,24000
Jun-2018,2018,6,65193,272,2670
Jun-2018,2018,6,65683,217,8100
Jun-2018,2018,6,65704,34,49968
Jun-2018,2018,6,65705,34,30744
Jun-2018,2018,6,65706,34,19296
Jun-2018,2018,6,65707,448,7416
Jun-2018,2018,6,65942,405,113904
Jun-2018,2018,6,65943,405,69969
Jun-2018,2018,6,66018,177,33289
Jun-2018,2018,6,66019,177,33400
Jun-2018,2018,6,66020,177,4296
Jun-2018,2018,6,66021,177,16995
Jun-2018,2018,6,66099,228,36008
Jun-2018,2018,6,66142,34,0
Jun-2018,2018,6,66158,272,5637
Jun-2018,2018,6,66198,34,0
Jun-2018,2018,6,66272,177,30000
Jun-2018,2018,6,66345,638,5892
Jun-2018,2018,6,66416,497,56520
Jun-2018,2018,6,66420,228,1500
Jun-2018,2018,6,66431,272,36048
Jun-2018,2018,6,66433,272,5637
Jun-2018,2018,6,66434,272,4200
Jun-2018,2018,6,66435,272,6000
Jun-2018,2018,6,66437,272,6699
Jun-2018,2018,6,66508,653,50400
Jun-2018,2018,6,66509,653,54864
Jun-2018,2018,6,66510,668,59544
Jun-2018,2018,6,66536,453,13884
Jun-2018,2018,6,66571,453,103032
Jun-2018,2018,6,66572,453,14220
Jun-2018,2018,6,66573,453,72204
Jun-2018,2018,6,66574,453,12132
Jun-2018,2018,6,67069,34,80
Jul-2018,2018,7,42405,61,17160
Jul-2018,2018,7,42407,61,24984
Jul-2018,2018,7,42409,61,9564
Jul-2018,2018,7,42410,61,3696
Jul-2018,2018,7,42424,67,894
Jul-2018,2018,7,42469,161,51144
Jul-2018,2018,7,42483,179,9288
Jul-2018,2018,7,42518,4,55680
Jul-2018,2018,7,42564,153,1440
Jul-2018,2018,7,42565,153,1012092
Jul-2018,2018,7,42569,182,38064
Jul-2018,2018,7,42571,182,10824
Jul-2018,2018,7,42573,182,2772
Jul-2018,2018,7,42577,182,11664
Jul-2018,2018,7,42579,182,3096
Jul-2018,2018,7,42581,218,21948
Jul-2018,2018,7,42582,218,25404
Jul-2018,2018,7,42583,218,145884
Jul-2018,2018,7,42585,218,43536
Jul-2018,2018,7,42586,218,145716
Jul-2018,2018,7,42588,218,43884
Jul-2018,2018,7,42623,117,22999
Jul-2018,2018,7,42624,28,76992
Jul-2018,2018,7,42625,28,7518
Jul-2018,2018,7,42648,67,36600
Jul-2018,2018,7,44059,153,78408
Jul-2018,2018,7,44060,153,38856
Jul-2018,2018,7,44582,107,94157
Jul-2018,2018,7,44584,107,24720
Jul-2018,2018,7,45316,269,13536
Jul-2018,2018,7,45320,269,66312
Jul-2018,2018,7,45392,269,3732
Jul-2018,2018,7,45393,269,5796
Jul-2018,2018,7,45726,274,25032
Jul-2018,2018,7,45968,232,13356
Jul-2018,2018,7,46308,57,18348
Jul-2018,2018,7,46384,553,17556
Jul-2018,2018,7,46387,553,1656
Jul-2018,2018,7,46408,61,1032
Jul-2018,2018,7,46409,61,2478
Jul-2018,2018,7,46612,272,407820
Jul-2018,2018,7,46973,218,407
Jul-2018,2018,7,46974,218,730
Jul-2018,2018,7,46981,67,543
Jul-2018,2018,7,47723,333,26292
Jul-2018,2018,7,48009,355,453271
Jul-2018,2018,7,51304,996,14316
Jul-2018,2018,7,51305,996,59844
Jul-2018,2018,7,51306,996,50496
Jul-2018,2018,7,51317,996,36096
Jul-2018,2018,7,51329,203,22380
